Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature,Unnamed: 11
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,a7c2fd67-c32d-4f83-9eaf-5a8fd6aff793,05c53001-bdf8-4118-8560-f12e3c7bab8f,fd31524e-5776-47fa-b1da-c9f7556dec00,GALLONS,0.09375,PLASTIC_BOTTLE,on shelf in parts,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,54c97d80-cb9f-4fdc-ae1b-a9ba785213bb,2b0eae8e-4896-43e6-a1b6-8586ae944d22,e8e13066-5086-40c3-86b7-c30effe550f2,GALLONS,0.1875,PLASTIC_BOTTLE,parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,66159d83-228b-4701-b6d3-86b9c31359d0,65c5071c-41a4-4699-8ebb-4808c575e657,1f7f08ca-2405-4803-9fbc-a22293d3ac18,GALLONS,0.09375,PLASTIC_BOTTLE,parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,59e4ddf0-8619-4ff4-9d33-6a3fe0a4b890,c93efc1f-91f2-417c-bce7-38a8c370e381,5bd4ecf2-32d6-4ad5-afbc-0eb418221345,GALLONS,0.1875,PLASTIC_BOTTLE,parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,e233bad8-c2e7-4122-9c28-5aa7393ab299,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,a320ddff-5a76-4bc2-a2cf-68d4416c0a33,GALLONS,0.09375,PLASTIC_BOTTLE,parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,c6ebc5c3-002a-471d-a281-ac97eee670ea,fb8dc852-19c0-4918-b02f-0b89eacc26a2,d081847d-c061-4957-85d1-fb48bb25b96b,GALLONS,0.09375,PLASTIC_BOTTLE,parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,0a201efe-4846-4fa0-9089-6c23f63e4c8d,d4703ea4-6f24-4b6c-8e41-9d51bd4f811b,5c41fe0d-e41a-4117-aba6-4af39e583ed6,GALLONS,0.1875,PLASTIC_BOTTLE,parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,8f63e901-291b-41ad-97f4-75124e874a01,496cc246-c49c-481a-9a2b-4c54bd92dac8,49e03cf7-752b-469a-8dad-4b9756c74be2,GALLONS,0.1875,GLASS_BOTTLE,parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,847b173a-2afc-4db9-a7f1-ef885c06989a,53df2c56-9297-43f4-9f31-c96142c67638,f6d5e396-63f2-4458-9db1-3a3f5aa84960,GALLONS,0.0,PLASTIC_BOTTLE,Chemical cabinet in service shop north wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,129b9c90-0fc7-44af-8af4-8a990e83ea46,9931bba3-c379-4287-8ea4-9b96dc72c87a,16e39ec5-479a-48ba-bb5f-27c20058c271,GALLONS,0.0,PLASTIC_BOTTLE,Chemical cabinet service area north wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,95bba4c5-9413-4e9d-a123-76b08627a36f,95aa65fa-c133-47dc-8cec-213e1ae024d4,2221548b-5cdc-4311-88b9-a13e5f095e69,GALLONS,0.0,PLASTIC_BOTTLE,Chemical cabinet service area north wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,e07899d9-2edf-4130-b9fe-1b456a00af1e,251e098b-ee7c-4ce9-9b70-5f99000be3af,62311996-fa15-4298-a15a-aa19d1187e23,GALLONS,0.0,CAN,Chemical cabinet service area north wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,e800c80e-5913-4648-bdda-746cbba86823,a957ac53-efcc-4022-bca6-545860ae1eca,dc77daa6-5321-4ad9-9099-49fa8c1ccb73,GALLONS,0.0,PLASTIC_BOTTLE,Chemical cabinet service area north wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,1c45dd45-9b86-4fd6-98d6-2db5fe25487a,e409bd30-c053-4467-a187-bf87341e47db,e39aebdd-0450-4e2d-b5aa-415bd52e145b,GALLONS,0.0,PLASTIC_BOTTLE,Chemical cabinet service area north wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,9247b4c0-680b-425f-8c0b-3a963c82537d,37cede10-7c66-4920-adfe-599d26d49a43,fdf8e21c-ebdb-4f0a-99c4-b6c706ba0d62,GALLONS,0.0,PLASTIC_BOTTLE,Chemical cabinet service area north wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,080c9d3c-1766-47cd-b3a9-7ca1b962af26,6172a031-7411-4c46-b390-96a40512cf1d,f6d186e0-5e1d-43c5-b7f2-b28c49b27ff5,GALLONS,0.0,PLASTIC_BOTTLE,Chemical cabinet service area north wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
