Tenant ID,Facility Chemical Id,Facility Id,Chemical Id,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
5aa8feab-9558-4b1b-963e-051e14c05b3b,496cc246-c49c-481a-9a2b-4c54bd92dac8,d81be489-4583-47bc-9bf3-18ce259df7cd,496cc246-c49c-481a-9a2b-4c54bd92dac8,2023,null,null,24,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,53df2c56-9297-43f4-9f31-c96142c67638,d81be489-4583-47bc-9bf3-18ce259df7cd,53df2c56-9297-43f4-9f31-c96142c67638,2023,null,4,0,QUARTS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,9931bba3-c379-4287-8ea4-9b96dc72c87a,d81be489-4583-47bc-9bf3-18ce259df7cd,9931bba3-c379-4287-8ea4-9b96dc72c87a,2023,null,5,0,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,95aa65fa-c133-47dc-8cec-213e1ae024d4,d81be489-4583-47bc-9bf3-18ce259df7cd,95aa65fa-c133-47dc-8cec-213e1ae024d4,2023,null,4,0,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,251e098b-ee7c-4ce9-9b70-5f99000be3af,d81be489-4583-47bc-9bf3-18ce259df7cd,251e098b-ee7c-4ce9-9b70-5f99000be3af,2023,null,1,0,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,a957ac53-efcc-4022-bca6-545860ae1eca,d81be489-4583-47bc-9bf3-18ce259df7cd,a957ac53-efcc-4022-bca6-545860ae1eca,2023,null,4,0,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,e409bd30-c053-4467-a187-bf87341e47db,d81be489-4583-47bc-9bf3-18ce259df7cd,e409bd30-c053-4467-a187-bf87341e47db,2023,null,5,0,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,37cede10-7c66-4920-adfe-599d26d49a43,d81be489-4583-47bc-9bf3-18ce259df7cd,37cede10-7c66-4920-adfe-599d26d49a43,2023,null,1,0,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,6172a031-7411-4c46-b390-96a40512cf1d,d81be489-4583-47bc-9bf3-18ce259df7cd,6172a031-7411-4c46-b390-96a40512cf1d,2023,null,1,0,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,c857cf87-bc3c-49cf-88b5-7860e1c583f3,d81be489-4583-47bc-9bf3-18ce259df7cd,c857cf87-bc3c-49cf-88b5-7860e1c583f3,2023,null,1,0,GALLONS,365,false,true
