Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,0b55b005-ba5e-4299-ac6f-77d82784b7df,7363f686-0a1c-507d-a1c3-6fff957b911e,263ca7fb-9ef2-40f2-8db8-d46b840aa232,GALLONS,0,PLASTIC_BOTTLE,BIN A100 IN PARTS DEPT ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,7c828784-42d8-4180-ac2c-1d63046379a1,8af735a2-27c0-545f-a947-d1d22bcb1ffe,1097fea1-773c-4659-bca7-1b33823346fd,QUARTS,3,PLASTIC_BOTTLE,BIN A100 IN PARTS DEPT ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,3244d7f9-ace6-41d5-b737-a261e9bf0d73,ef546d1f-408b-5b7d-bf4b-86dcc7820f68,44795f30-6638-4de7-a94e-a468f95bb9ed,GALLONS,13,PLASTIC_BOTTLE,BIN A100 IN PARTS DEPT,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,560fe097-8c6f-45e1-8d1b-c2f7cfcef480,cf4dd6cf-cf03-5f08-afee-5a789eed4e25,6324aed0-da29-4444-bd5d-387e6f1ae797,GALLONS,2,PLASTIC_BOTTLE,"BIN ""OIL"" IN PARTS DEPT ",AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,c46c60d7-f924-49d5-be22-d5d39fe80943,206f8651-b146-5b37-b82f-ca6e488d6188,4cb3c780-a300-455c-aec3-3b788ba0d06b,GALLONS,8,PLASTIC_BOTTLE,"BIN ""OIL"" IN PARTS DEPT",AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,84fe5c1d-13da-4451-8283-715c70d962d4,ac7230e0-0059-5894-9933-798ecfa0c308,80783e37-000a-4338-ba09-54a1ebaa82ae,CUBIC_FEET,80,CYLINDER,NORTH WALL OF THE MAIN SHOP,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,bc7a0d89-c48e-4c60-b8e4-0ad9b6bb2bd5,12cdc37f-e01c-5fcc-b0d8-eb4489599148,81935224-4b24-4724-b9ec-831d5ea52dc1,GALLONS,60,PLASTIC_BOTTLE,"BIN ""OIL"" IN PARTS DEPT",AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,f8c9d834-c0fa-4997-bb0b-a90356764d01,81e198f4-c078-5f95-b71f-e6bc0fe8a8d9,0bb42504-47d0-4562-a529-991853bc8109,GALLONS,157,PLASTIC_BOTTLE,BIN A100 IN PARTS DEPT,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,3e718b82-035d-435d-9395-69c6bb3779fe,100216e3-2a01-43c6-a67b-151984f179eb,caa92adb-c122-5c2d-826c-5c8fce24754a,f3acae77-fe57-4fa2-8fbb-6c7060f4d387,POUNDS,0,CASE,In 3 onsite forklifts,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,3e718b82-035d-435d-9395-69c6bb3779fe,dca69b43-094f-4560-a7cb-29ed3570ddb5,54f6eb04-4f13-56c9-8f55-a6d65da22aa0,19ac9131-67a2-42a4-84d4-d1082cab6a20,GALLONS,0,STEEL_DRUM,Outside of Detail Shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,3e718b82-035d-435d-9395-69c6bb3779fe,0184c2d3-7329-4912-ac7e-b1bcf5552497,0a350b8e-4a4f-537a-b917-98586a4ba5cc,11e2d6ca-e407-455a-ae17-2a727477ed71,GALLONS,3000,ABOVEGROUND_STORAGE_TANK,Service Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,3e718b82-035d-435d-9395-69c6bb3779fe,5941bd18-e076-46d3-acd5-543b388a9571,d18530e5-b265-56e3-9378-7171253a8a4e,b156f0e8-99d6-465d-a31d-16cde8579101,CUBIC_FEET,397,CYLINDER,Service Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,3e718b82-035d-435d-9395-69c6bb3779fe,c4c42e17-d411-4b1d-a371-d8c5cb91c166,f36c7f65-8804-5928-bd5e-4b4e560e0d2a,a45d509c-4cca-4c00-b057-5c449c705fa1,GALLONS,0,STEEL_DRUM,Service Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,3e718b82-035d-435d-9395-69c6bb3779fe,f2372ed2-61b8-49ba-9ef9-ded350b89cd1,43ce87c9-5209-5671-b1f8-2d6e223f446f,10fed2ef-a440-46f0-8d67-265151b07e1a,GALLONS,0,STEEL_DRUM,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,3e718b82-035d-435d-9395-69c6bb3779fe,65bee424-e55b-4e8b-9bb2-403ad694433a,6be059c5-fb5a-534d-9ea4-754f8f09db30,f026f39f-4a0b-4cd7-86a5-73685df45b3d,GALLONS,0,STEEL_DRUM,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,3e718b82-035d-435d-9395-69c6bb3779fe,a53fce57-62a1-474a-afc1-76935f3ad1c0,26e3f9a0-6201-5bf6-b9a1-4645079d028e,6b0c32ea-6716-442c-aac6-773eb137f8dd,GALLONS,0,STEEL_DRUM,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
