Facility Chemical ID,Facility ID,Chemical ID,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
f5e52940-f35e-4e23-843b-539952704202,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,f5e52940-f35e-4e23-843b-539952704202,2023,0,0,0,GALLONS,365,FALSE,TRUE
d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,76dd69a4-aad6-409c-b938-8bd12c99973c,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,2023,50,50,0,POUNDS,365,FALSE,TRUE
f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,76dd69a4-aad6-409c-b938-8bd12c99973c,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,2023,25,25,0,GALLONS,365,FALSE,TRUE
9d0e4066-42b6-40d8-b59f-c934453dd9cb,76dd69a4-aad6-409c-b938-8bd12c99973c,9d0e4066-42b6-40d8-b59f-c934453dd9cb,2023,5,1,5,GALLONS,365,FALSE,TRUE
d5cc0890-8248-4737-b9d5-d10da0f2a20e,76dd69a4-aad6-409c-b938-8bd12c99973c,d5cc0890-8248-4737-b9d5-d10da0f2a20e,2023,3,3,3,GALLONS,365,FALSE,TRUE
9af4a39b-2220-46a6-9de3-d6a0368505b8,76dd69a4-aad6-409c-b938-8bd12c99973c,9af4a39b-2220-46a6-9de3-d6a0368505b8,2023,18,18,18,GALLONS,365,FALSE,TRUE
3a62db00-c23f-4f22-afe8-35069713d896,76dd69a4-aad6-409c-b938-8bd12c99973c,3a62db00-c23f-4f22-afe8-35069713d896,2023,31,31,31,GALLONS,365,FALSE,TRUE
b91cb2dc-474a-44ce-93f9-bd1e5bc2a407,76dd69a4-aad6-409c-b938-8bd12c99973c,b91cb2dc-474a-44ce-93f9-bd1e5bc2a407,2023,15,108,15,GALLONS,365,FALSE,TRUE
73796a46-adae-47a2-85a3-a8596403a6c0,76dd69a4-aad6-409c-b938-8bd12c99973c,73796a46-adae-47a2-85a3-a8596403a6c0,2023,14,20,14,GALLONS,365,FALSE,TRUE
ab982817-3837-4147-a7e9-738d5bd07bf4,76dd69a4-aad6-409c-b938-8bd12c99973c,ab982817-3837-4147-a7e9-738d5bd07bf4,2023,1,6,1,GALLONS,365,FALSE,TRUE
126faa5c-30f8-4324-ab86-b02b68d5186c,76dd69a4-aad6-409c-b938-8bd12c99973c,126faa5c-30f8-4324-ab86-b02b68d5186c,2023,25,25,24,GALLONS,365,FALSE,TRUE
f576ce3e-0cd9-43d3-a760-12004047d3b2,76dd69a4-aad6-409c-b938-8bd12c99973c,f576ce3e-0cd9-43d3-a760-12004047d3b2,2023,6,6,6,GALLONS,365,FALSE,TRUE
f021e49a-0ee3-49fc-8741-2aa702fd7866,76dd69a4-aad6-409c-b938-8bd12c99973c,f021e49a-0ee3-49fc-8741-2aa702fd7866,2023,4,4,0,GALLONS,365,FALSE,TRUE
8c6f990e-ef39-400b-bf25-05e8ed325445,76dd69a4-aad6-409c-b938-8bd12c99973c,8c6f990e-ef39-400b-bf25-05e8ed325445,2023,0.75,0.75,0.75,GALLONS,365,FALSE,TRUE
78b7d6d9-6c1b-4e8e-a275-0536e6007bc6,76dd69a4-aad6-409c-b938-8bd12c99973c,78b7d6d9-6c1b-4e8e-a275-0536e6007bc6,2023,13,13,13,GALLONS,365,FALSE,TRUE
