Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
919b467c-90a7-49d7-86fe-743dd2776a5b,3483a027-dfb5-402e-a4af-7fc1a5ff756f,"distillates (petroleum), hydrotreated heavy paraffinic",FALSE,99.0,64742-54-7,FALSE,WEIGHT,
35804101-b666-4c45-883f-d14b92bcbef4,3483a027-dfb5-402e-a4af-7fc1a5ff756f,"lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based",FALSE,85.0,72623-86-0,FALSE,WEIGHT,
ccd7dd18-273a-4918-a313-0b3681766cbf,3483a027-dfb5-402e-a4af-7fc1a5ff756f,"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based",FALSE,70.0,72623-87-1,FALSE,WEIGHT,
97cf5c0b-c153-4edd-b7e3-f99b39c54d04,3483a027-dfb5-402e-a4af-7fc1a5ff756f,"Phosphorodithioic acid, O,O-di-C1-14-alkyl esters, zinc salts",FALSE,1.0,68649-42-3,FALSE,WEIGHT,
821edcf3-2308-4739-8d45-b4d7bf8e6d23,c2b42566-2de3-4d10-ba4f-75d6d44b4b11,"Distillates, petroleum, hydrotreated heavy paraffinic",FALSE,100.0,64742-54-7,FALSE,WEIGHT,
74fd5d1a-9703-4e8c-90b8-723e7aedf5d2,f8ca3b1e-cc71-45c8-b8c5-09e399614d05,"2-PENTANOL, 4-METHYL-, HYDROGEN PHOSPHORODITHIOATE, ZINC SALT",FALSE,1.0,2215-35-2,FALSE,WEIGHT,
6dcb4948-9bdc-449c-8542-66662e781952,f8ca3b1e-cc71-45c8-b8c5-09e399614d05,"BENZENAMINE, N-PHENYL-, REACTION PRODUCTS WITH 2,4,4-TRIMETHYLPENTENE",FALSE,5.0,68411-46-1,FALSE,WEIGHT,
1bb2d041-73f1-4e98-91d2-107fd4c17527,f8ca3b1e-cc71-45c8-b8c5-09e399614d05,"DISTILLATES, HEAVY, C18-50 - BRANCHED, CYCLIC AND LINEAR",FALSE,30.0,848301-69-9,FALSE,WEIGHT,
7558b491-6cfc-4d4e-be41-0a63d12b9b59,f8ca3b1e-cc71-45c8-b8c5-09e399614d05,ORGANO MOLY-SULFUR COMPLEX,FALSE,1.0,,TRUE,WEIGHT,
f7b5188a-cd84-43bb-b08e-86fd99677794,f8ca3b1e-cc71-45c8-b8c5-09e399614d05,"PHOSPHORODITHIOIC ACID, MIXED 0,0 BIS (1,3-DIMETHYLBUTYL AND ISO-PR)ESTERS, ZINC SALTS",FALSE,1.0,84605-29-8,FALSE,WEIGHT,
28ea280e-564e-43f7-ab4a-1b1bb583269d,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,Sulfuric Acid (Dilute),TRUE,35.0,7664-93-9,FALSE,WEIGHT,
11269371-d839-44c9-9f38-abc13a8d87c0,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,Sulfuric Acid (Dilute),TRUE,35.0,7664-93-9,FALSE,WEIGHT,
39e214f5-e4f9-4643-b336-bccbc1fe57b5,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,Sulfuric Acid (Dilute),TRUE,35.0,7664-93-9,FALSE,WEIGHT,
cbe84988-b51d-4369-a6b7-d94a38da10ee,8d20a027-1cba-47e8-90fc-5b3fc17aa292,Zinc Compound,FALSE,1.1,Trade Secret,TRUE,WEIGHT,
0947128f-9701-4527-8c15-8e7ab781663e,5f47d5d0-0de0-494f-9776-9f14c0b18f6f,Toluene,FALSE,40.0,108-88-3,FALSE,VOLUME,
9f16b327-19a1-4685-be69-9c3cd7910f42,5f47d5d0-0de0-494f-9776-9f14c0b18f6f,"Petroleum gases, liquified, sweetened",FALSE,30.0,68476-86-8,FALSE,VOLUME,
d167bb9d-25dd-4b92-a6c3-40b4a3e1c5be,5f47d5d0-0de0-494f-9776-9f14c0b18f6f,ACETONE,FALSE,20.0,67-64-1,FALSE,VOLUME,
ceaa64ee-f232-41a8-bf8e-4402728aabe7,5f47d5d0-0de0-494f-9776-9f14c0b18f6f,XYLENE,FALSE,20.0,1330-20-7,FALSE,VOLUME,
8df4bfd2-c09f-4ead-a58e-24e3d1097623,5f47d5d0-0de0-494f-9776-9f14c0b18f6f,DIACETONE ALCOHOL,FALSE,10.0,123-42-2,FALSE,VOLUME,
90c9250f-9db4-4015-a271-b439fc9fee1e,5f47d5d0-0de0-494f-9776-9f14c0b18f6f,METHANOL,FALSE,10.0,67-56-1,FALSE,VOLUME,
d31ffa8b-3b94-45d5-9e4c-ee9b6bf125c8,5f47d5d0-0de0-494f-9776-9f14c0b18f6f,Benzene,FALSE,0.17,71-43-2,FALSE,VOLUME,
90c08732-4c3e-4ede-8b05-cb59cbf08e24,5f47d5d0-0de0-494f-9776-9f14c0b18f6f,ETHYL BENZENE,FALSE,0.1,100-41-4,FALSE,VOLUME,
baa6c49a-c6d5-4c2d-a296-6e40086c6078,214088de-7213-4102-9bc5-3b1bc03dcffd,MERCON® LV Automatic Transmission Fluid,FALSE,100.0,,TRUE,VOLUME,
3e0efe8c-b125-4c02-8ecb-3bb23c426062,214088de-7213-4102-9bc5-3b1bc03dcffd,MERCON® LV Automatic Transmission Fluid,FALSE,100.0,,TRUE,VOLUME,
3b8b9bc1-5fdc-4db0-b05d-962ebedb413f,f3dde940-a506-4b3e-8e95-0c4201c87754,"Distillates, petroleum, hydrotreated light paraffinic",FALSE,90.0,64742-55-8,FALSE,WEIGHT,
7caf20b7-85b6-462d-9a96-63da80fe5457,a5041a71-9fe2-44df-b7d2-127de8eb52c1,XYLENE,FALSE,60.0,1330-20-7,FALSE,WEIGHT,
69f1564b-fe7f-41bd-8129-00919e9e2c2b,a5041a71-9fe2-44df-b7d2-127de8eb52c1,BUTANE,FALSE,20.0,106-97-8,FALSE,WEIGHT,
8123ee76-a090-4648-9b46-31408461861e,a5041a71-9fe2-44df-b7d2-127de8eb52c1,METHANOL,FALSE,20.0,67-56-1,FALSE,WEIGHT,
4bcacc57-b7a7-489e-89f7-eab688b600d6,a5041a71-9fe2-44df-b7d2-127de8eb52c1,PROPANE,FALSE,20.0,74-98-6,FALSE,WEIGHT,
2544fc80-5edb-4d12-873f-040be121966c,a5041a71-9fe2-44df-b7d2-127de8eb52c1,ETHYLBENZENE,FALSE,10.0,100-41-4,FALSE,WEIGHT,
4d85de5a-745d-4396-9661-eb2572b83079,f021e49a-0ee3-49fc-8741-2aa702fd7866,Tetrasodium ethylenediaminetetraacetate,FALSE,6.0,64-02-8,FALSE,WEIGHT,
d4ef7ab2-8eb2-4068-9d7f-62b45848b0b2,f021e49a-0ee3-49fc-8741-2aa702fd7866,Tetrasodium ethylenediaminetetraacetate,FALSE,6.0,64-02-8,FALSE,WEIGHT,
1d910bc5-8c40-48c8-9d17-80fe5dc3de5a,f5e52940-f35e-4e23-843b-539952704202,Motorcraft SAE 5W-20 Synthetic Motor Oil,FALSE,100.0,,TRUE,VOLUME,
2bd6fff1-996c-4473-95aa-ee5e137ee15d,ab982817-3837-4147-a7e9-738d5bd07bf4,Zinc compound,FALSE,2.0,Trade Secret,TRUE,WEIGHT,
df401014-91ca-4c76-b80e-d67fd2bd20e0,ab982817-3837-4147-a7e9-738d5bd07bf4,Zinc compound,FALSE,2.0,Trade Secret,TRUE,WEIGHT,
90233034-b1f8-4ec8-b8e2-6b96a432595e,73bba6ab-02de-4198-b537-fcab1d50279b,Zinc compound,FALSE,2.0,Trade Secret,TRUE,WEIGHT,
99c79ef5-efd8-4468-be32-e3207fd1ff96,3572a26e-f0b5-45a6-9f4b-537080ad01a7,ETHYLENE GLYCOL,FALSE,88.67,107-21-1,FALSE,WEIGHT,
f8da87fe-55e0-4012-9b4c-1541c37b1ad1,3572a26e-f0b5-45a6-9f4b-537080ad01a7,"2,2'-Oxydiethanol",FALSE,4.67,111-46-6,FALSE,WEIGHT,
67c2a2d1-7baf-4343-a4fc-7875c2c529ca,3572a26e-f0b5-45a6-9f4b-537080ad01a7,ETHYLENE GLYCOL,FALSE,88.67,107-21-1,FALSE,WEIGHT,
862aece0-72c7-41a6-a0b0-9f3c4558c7b4,3572a26e-f0b5-45a6-9f4b-537080ad01a7,"2,2'-Oxydiethanol",FALSE,4.67,111-46-6,FALSE,WEIGHT,
3dd13f90-1514-4455-bb50-55ed723f940e,3572a26e-f0b5-45a6-9f4b-537080ad01a7,ETHYLENE GLYCOL,FALSE,88.67,107-21-1,FALSE,WEIGHT,
62cc1302-30e6-4b6c-8ac4-218346043113,3572a26e-f0b5-45a6-9f4b-537080ad01a7,"2,2'-Oxydiethanol",FALSE,4.67,111-46-6,FALSE,WEIGHT,
92408fa3-ada7-4341-9441-8d9c39812b2c,34f70028-f1a4-4621-9b6f-db911d727dd6,Ethylene Glycol,FALSE,55.0,107-21-1,FALSE,VOLUME,
8da233a2-2c3a-40a8-bfcd-a64705ce3ae6,34f70028-f1a4-4621-9b6f-db911d727dd6,Water,FALSE,55.0,7732-18-5,FALSE,VOLUME,
af676027-a189-4acf-b6af-ff61f12a9528,34f70028-f1a4-4621-9b6f-db911d727dd6,"2-Ethyl Hexanoic Acid, Sodium Salt",FALSE,5.0,19766-89-3,FALSE,VOLUME,
b15f3538-04fc-49c8-906d-4fa14807d855,34f70028-f1a4-4621-9b6f-db911d727dd6,Diethylene Glycol,FALSE,5.0,111-46-6,FALSE,VOLUME,
aa6bc168-54a6-4256-8f6f-f6bfef69f0da,ddcbfa42-5fc4-414f-ba4c-9481ff5e06ca,Zinc compound,FALSE,2.0,Trade Secret,TRUE,WEIGHT,
458c9299-5386-4e48-96e3-d344829eed45,67a6c854-142a-4811-ace6-11951daa6c29,"Dec-1-ene, homopolymer, hydrogenated",FALSE,20.0,68037-01-4,FALSE,WEIGHT,
a261cf12-5b94-4579-bd03-4d5ceaf2265b,67a6c854-142a-4811-ace6-11951daa6c29,"Polysulfides, Di-tert-bu",FALSE,5.0,68937-96-2,FALSE,WEIGHT,
1d875c2c-ec34-4cdd-8dbb-d2285ea76e07,67a6c854-142a-4811-ace6-11951daa6c29,"Reaction products of 4-methyl-2-pentanol and diphosphorus pentasulfide, propoxylated, esterified with diphosphorus pentaoxide, and salted by amines, C12-14- tert-alkyl",FALSE,2.5,,TRUE,WEIGHT,
410637ca-89fc-4301-b7f5-c7fe0adb3ca4,802cea6c-2ff5-4716-9f88-9028e7aa3d13,ALKARYLAMINE,FALSE,5.0,36878-20-3,FALSE,WEIGHT,
67f51939-b2a7-4eb3-b6f7-a6ea6b26f70c,802cea6c-2ff5-4716-9f88-9028e7aa3d13,SOLVENT DEWAXED HEAVY PARAFFINIC DISTILLATE,FALSE,10.0,64742-65-0,FALSE,WEIGHT,
d99efec4-ce7a-4f46-84e8-39e6e1d35d19,802cea6c-2ff5-4716-9f88-9028e7aa3d13,"ZINC BIS(O,O-DIISOOCTYL) BIS(DITHIOPHOSPHATE)",FALSE,1.0,28629-66-5,FALSE,WEIGHT,
dec8e5e5-da40-43de-91ab-e3b08db18a59,323ff724-4866-4b0b-a261-ac4f037e7249,Tetrasodium ethylenediaminetetraacetate,FALSE,10.0,64-02-8,FALSE,WEIGHT,
09ff99fe-214f-4934-98df-f9e5ed090f91,78b7d6d9-6c1b-4e8e-a275-0536e6007bc6,"Phosphorodithioic acid, O,O-di-C1-14-alkyl esters, zinc salts",FALSE,0.8,68649-42-3,FALSE,WEIGHT,
