Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
,,27c56ffa-f99c-49ab-b793-1e2839733846,73bba6ab-02de-4198-b537-fcab1d50279b,e09f22dc-007f-4724-8f2c-07f1ebc8ef97,QUARTS,0,CASE,In Parts Department bin 132,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,c176fdc2-2ffa-40de-80cc-635f4b6b51d3,d8390965-2f21-4cc8-b899-5e80b5f7cfac,a3400338-0446-42e1-a72a-dbc9003bbbf1,QUARTS,0,CASE,In parts department in bin 133,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,acdce48f-4bd4-46b8-b0f8-9f31e03c6c9f,214088de-7213-4102-9bc5-3b1bc03dcffd,af277812-acee-4675-9e09-c31a1abf94f5,GALLONS,0,CASE,in Parts Department bin 135,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,f69a5932-8000-4d2d-9a92-a6db184e5911,ab982817-3837-4147-a7e9-738d5bd07bf4,cb6fcdf9-8723-42fa-a9af-ac7aa14658c0,QUARTS,0,CASE,in parts department bin 134,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,03238a94-f482-4da9-b6a4-31e6f9632cc4,a312bbce-f598-4771-b855-1fc28daf6631,a21912b9-db52-4f77-a512-e832b6290d97,OUNCES,0,CASE,In the Parts department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,480edda1-5c07-44b3-8d2a-da89ded8803c,ccc98ff1-3b95-4e17-abff-9825bec16bd5,127705c0-6ecd-4bd3-aab5-f64cf202f8da,OUNCES,0,CASE,Parts Department bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,919df57a-8b33-47b1-a847-8f5afc45455d,a5041a71-9fe2-44df-b7d2-127de8eb52c1,1ad9062e-173c-4244-a74f-4e1e01285ad2,GALLONS,0,CASE,Parts Department Bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,54f047ff-2377-43b4-8611-cbc86354b242,fe9a898e-7f0a-418d-a25e-1d636b9ff15e,4cc1b2d3-8f39-4ec5-91fc-a7346c7259fc,GALLONS,0,STEEL_DRUM,Parts Department bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,e2ad9c7b-5c72-45ad-9b17-1b4f9d826249,684544f5-14a8-4fa9-a53c-74b98d0ca3e0,0640160e-78b0-40a5-bb69-2b9c9e4975f3,GALLONS,0,CAN,Parts Department in bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,4ff5191c-246d-435d-87e8-5ba0b1d6ef01,f021e49a-0ee3-49fc-8741-2aa702fd7866,9d9c5047-5d16-4320-b247-7098ce9ad2a0,GALLONS,300,ABOVEGROUND_STORAGE_TANK,In Rear of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,545fd69f-0445-4785-8b7b-eba4bc000331,8c6f990e-ef39-400b-bf25-05e8ed325445,efa2a8a7-6b41-413e-9538-5aeb2e901ed3,GALLONS,0,CAN,Parts Department in Bin 127,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,b0b962e1-5816-4642-9811-4de5b8560992,046c5f34-13b7-4ae7-9b79-6a84eaf64c34,b9482b71-6d05-4dbf-a10e-51ef6b0e6f32,GALLONS,0,CASE,Parts Department in bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,97a4c5d6-dc16-4f84-a40f-49d9eacf13a7,77d7ccb0-0825-4d57-9d01-f6b1a5c4aa45,d11f2fa8-d017-4a23-b89d-0ea8c6a97a13,GALLONS,0,PLASTIC_BOTTLE,Parts Department in Bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,058a3cdb-131f-4238-9e12-3d1bf4bd19af,5a1a502f-ca7c-4294-be2c-4a1e58022d58,620574c9-04f2-4c98-a04b-fedd9a753f71,GALLONS,0,CASE,In parts department bin 130,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
